# z fsig8 fsig8(1sigma)
1.000000e-01 4.307219e-01 4.307219e-03
2.000000e-01 4.446015e-01 4.446015e-03
3.000000e-01 4.522986e-01 4.522986e-03
4.000000e-01 4.552857e-01 4.552857e-03
5.000000e-01 4.543659e-01 4.543659e-03
6.000000e-01 4.502218e-01 4.502218e-03
7.000000e-01 4.436858e-01 4.436858e-03
8.000000e-01 4.354623e-01 4.354623e-03
9.000000e-01 4.259697e-01 4.259697e-03
1.000000e+00 4.157195e-01 4.157195e-03
1.100000e+00 4.049887e-01 4.049887e-03
1.200000e+00 3.940294e-01 3.940294e-03
1.300000e+00 3.832364e-01 3.832364e-03
1.400000e+00 3.726927e-01 3.726927e-03
1.500000e+00 3.621448e-01 3.621448e-03
1.600000e+00 3.518812e-01 3.518812e-03
1.700000e+00 3.419354e-01 3.419354e-03
1.800000e+00 3.323769e-01 3.323769e-03
1.900000e+00 3.231974e-01 3.231974e-03
2.000000e+00 3.143641e-01 3.143641e-03
