# z sig8 sig8(1sigma)
1.000000e-01 7.462475e-01 7.462475e-03
2.000000e-01 7.080257e-01 7.080257e-03
3.000000e-01 6.721066e-01 6.721066e-03
4.000000e-01 6.384399e-01 6.384399e-03
5.000000e-01 6.070077e-01 6.070077e-03
6.000000e-01 5.777693e-01 5.777693e-03
7.000000e-01 5.506239e-01 5.506239e-03
8.000000e-01 5.254564e-01 5.254564e-03
9.000000e-01 5.021321e-01 5.021321e-03
1.000000e+00 4.805132e-01 4.805132e-03
1.100000e+00 4.604251e-01 4.604251e-03
1.200000e+00 4.417650e-01 4.417650e-03
1.300000e+00 4.244478e-01 4.244478e-03
1.400000e+00 4.083967e-01 4.083967e-03
1.500000e+00 3.932286e-01 3.932286e-03
1.600000e+00 3.791625e-01 3.791625e-03
1.700000e+00 3.660087e-01 3.660087e-03
1.800000e+00 3.537017e-01 3.537017e-03
1.900000e+00 3.421689e-01 3.421689e-03
2.000000e+00 3.313187e-01 3.313187e-03
