# z fsig8 fsig8(1sigma)
# chi2=0.5039350444782199 pchi2=0.871096204438792
1.000000e-01 4.636503e-01 4.636503e-03
2.000000e-01 4.766745e-01 4.766745e-03
3.000000e-01 4.863625e-01 4.863625e-03
4.000000e-01 4.866066e-01 4.866066e-03
5.000000e-01 4.871344e-01 4.871344e-03
6.000000e-01 4.819649e-01 4.819649e-03
7.000000e-01 4.731933e-01 4.731933e-03
8.000000e-01 4.607140e-01 4.607140e-03
9.000000e-01 4.536700e-01 4.536700e-03
1.000000e+00 4.403833e-01 4.403833e-03
1.100000e+00 4.351967e-01 4.351967e-03
1.200000e+00 4.096383e-01 4.096383e-03
1.300000e+00 4.024565e-01 4.024565e-03
1.400000e+00 3.952631e-01 3.952631e-03
1.500000e+00 3.802357e-01 3.802357e-03
