# z sig8 sig8(1sigma)
# chi2=0.8710510301456929 pchi2=0.4427446909444744
1.000000e-01 7.762746e-01 7.762746e-03
2.000000e-01 7.303101e-01 7.303101e-03
3.000000e-01 7.039885e-01 7.039885e-03
4.000000e-01 6.740101e-01 6.740101e-03
5.000000e-01 6.350349e-01 6.350349e-03
6.000000e-01 5.978829e-01 5.978829e-03
7.000000e-01 5.839779e-01 5.839779e-03
8.000000e-01 5.477584e-01 5.477584e-03
9.000000e-01 5.289035e-01 5.289035e-03
1.000000e+00 5.017282e-01 5.017282e-03
1.100000e+00 4.823017e-01 4.823017e-03
1.200000e+00 4.664394e-01 4.664394e-03
1.300000e+00 4.428858e-01 4.428858e-03
1.400000e+00 4.258805e-01 4.258805e-03
1.500000e+00 4.057226e-01 4.057226e-03
