# z sig8 sig8(1sigma)
1.000000e-01 7.862616e-01 7.862616e-03
2.000000e-01 7.455494e-01 7.455494e-03
3.000000e-01 7.071605e-01 7.071605e-03
4.000000e-01 6.711792e-01 6.711792e-03
5.000000e-01 6.376447e-01 6.376447e-03
6.000000e-01 6.064999e-01 6.064999e-03
7.000000e-01 5.776651e-01 5.776651e-03
8.000000e-01 5.509735e-01 5.509735e-03
9.000000e-01 5.262478e-01 5.262478e-03
1.000000e+00 5.033265e-01 5.033265e-03
1.100000e+00 4.820529e-01 4.820529e-03
1.200000e+00 4.622837e-01 4.622837e-03
1.300000e+00 4.439257e-01 4.439257e-03
1.400000e+00 4.268958e-01 4.268958e-03
1.500000e+00 4.109431e-01 4.109431e-03
1.600000e+00 3.961029e-01 3.961029e-03
1.700000e+00 3.822191e-01 3.822191e-03
1.800000e+00 3.692270e-01 3.692270e-03
1.900000e+00 3.570618e-01 3.570618e-03
2.000000e+00 3.456433e-01 3.456433e-03
