# z fsig8 fsig8(1sigma)
1.000000e-01 4.611253e-01 4.611253e-03
2.000000e-01 4.763757e-01 4.763757e-03
3.000000e-01 4.846411e-01 4.846411e-03
4.000000e-01 4.871877e-01 4.871877e-03
5.000000e-01 4.853038e-01 4.853038e-03
6.000000e-01 4.800649e-01 4.800649e-03
7.000000e-01 4.724399e-01 4.724399e-03
8.000000e-01 4.630811e-01 4.630811e-03
9.000000e-01 4.524907e-01 4.524907e-03
1.000000e+00 4.411147e-01 4.411147e-03
1.100000e+00 4.293516e-01 4.293516e-03
1.200000e+00 4.174150e-01 4.174150e-03
1.300000e+00 4.055062e-01 4.055062e-03
1.400000e+00 3.938362e-01 3.938362e-03
1.500000e+00 3.824046e-01 3.824046e-03
